code,name,industry,outstanding,totals,timeToMarket
601869,N长飞,元器件,0.76,7.58,20180720
000955,欣龙控股,纺织,5.38,5.38,19991209
002195,二三四五,软件服务,42.3,44.36,20071212
002580,圣阳股份,电气设备,2.98,3.54,20110506
002608,江苏国信,火力发电,5.39,37.78,20110810
601838,成都银行,银行,3.61,36.12,20180131
600734,实达集团,电脑设备,3.55,6.24,19960808
603021,山东华鹏,玻璃,3.16,3.2,20150423
002807,江阴银行,银行,7.18,17.67,20160902
300299,富春股份,通信设备,5.84,7.41,20120319
002857,三晖电气,电器仪表,0.49,1.28,20170323
002790,瑞尔特,家居用品,0.64,2.56,20160308
002413,雷科防务,通信设备,10.09,11.56,20100528
002184,海得控制,软件服务,1.36,2.41,20071116
603323,吴江银行,银行,6.07,14.48,20161129
300213,佳讯飞鸿,通信设备,3.76,5.95,20110505
300032,金龙机电,元器件,7.89,8.03,20091225
300366,创意信息,软件服务,2.59,5.26,20140127
000416,民生控股,多元金融,5.32,5.32,19960719
603713,密尔克卫,仓储物流,0.38,1.52,20180713
300586,美联新材,化工原料,0.61,2.4,20170104
603106,恒银金融,电脑设备,0.77,3.08,20170920
002932,明德生物,医疗保健,0.17,0.67,20180710
603009,北特科技,汽车配件,3.21,3.59,20140718
300559,佳发教育,软件服务,0.76,1.4,20161101
300551,古鳌科技,专用机械,0.65,1.1,20161018
002628,成都路桥,建筑施工,7.25,7.37,20111103
002256,兆新股份,染料涂料,12.53,18.82,20080625
603706,东方环宇,供气供热,0.4,1.6,20180709
000977,浪潮信息,电脑设备,12.84,12.89,20000608
300353,东土科技,通信设备,3.51,5.17,20120927
002865,钧达股份,汽车配件,0.38,1.22,20170425
002858,力盛赛车,文教休闲,0.62,1.26,20170324
600901,江苏租赁,多元金融,6.4,29.87,20180301
002888,惠威科技,元器件,0.31,1.25,20170721
300036,超图软件,软件服务,3.32,4.5,20091225
300464,星徽精密,机械基件,0.91,2.08,20150610
603105,芯能科技,电气设备,0.88,5.0,20180709
300390,天华超净,元器件,1.85,3.45,20140731
000721,西安饮食,酒店餐饮,4.36,4.99,19970430
300317,珈伟股份,半导体,3.24,8.4,20120511
002835,同为股份,元器件,0.85,2.16,20161228
002839,张家港行,银行,8.41,18.08,20170124
002375,亚厦股份,装修装饰,12.52,13.4,20100323
300061,康旗股份,医疗保健,2.6,6.85,20100319
600705,中航资本,多元金融,76.19,89.76,19960516
600917,重庆燃气,供气供热,15.56,15.56,20140930
600816,安信信托,多元金融,46.73,54.69,19940128
000760,斯太尔,汽车配件,6.54,7.72,19970627
300750,宁德时代,电气设备,2.17,21.72,20180611
601336,新华保险,保险,20.85,31.2,20111216
